ID	CURIS	CORPUS_NAME	TERMS QUERY
35	obo.MONDO_0019376	West-Nile encephalitis	"West Nile encephalitis" | "West Nile fever encephalitis" | "West Nile fever with encephalitis" | "West Nile virus caused infectious encephalitis" | "West Nile virus infectious encephalitis" | "West-Nile fever"	West-Nile encephalitis OR West Nile encephalitis OR West Nile fever encephalitis OR West-Nile fever
36	obo.MONDO_0000276	Powassan encephalitis	"Powassan virus caused disease or disorder" | "Powassan virus disease or disorder" | "Powassan virus infectious disease" | "powassan encephalitis virus infection"	Powassan encephalitis
37	obo.MONDO_0005763	Flaviviridae infectious disease	"Flaviviridae caused disease or disorder" | "Flaviviridae disease or disorder"	
38	obo.MONDO_0006009	viral encephalitis	"Viruses caused encephalitis" | "Viruses encephalitis" | "viral encephalitis"	viral encephalitis OR Viruses encephalitis OR viral encephalitis
39	obo.MONDO_0005650	Arenaviridae infectious disease	"Arenaviridae caused disease or disorder" | "Arenaviridae disease or disorder" | "arenavirus infectious disease" | "disease due to arenavirus"	
40	obo.MONDO_0100120	vector-borne disease	"vector-borne infection" | "vector-borne infectious disease"	vector-borne disease OR vector-borne infection OR vector-borne infectious disease
41	obo.MONDO_0005784	hantavirus hemorrhagic fever with renal syndrome	hemorrhagic nephrosonephritis	hemorrhagic nephrosonephritis
42	obo.MONDO_0000284	Hantavirus hemorrhagic fever with renal syndrome, Puumala virus type	nephropathis epidemica	Hantavirus hemorrhagic fever AND renal syndrome
43	obo.MONDO_0005111	Epstein-Barr virus infection	"EBV infection" | "Epstein-Barr Virus infection" | "Human gammaherpesvirus 4 caused disease or disorder" | "Human gammaherpesvirus 4 disease or disorder" | "Human gammaherpesvirus 4 infectious disease"	Epstein-Barr virus infection OR EBV infection OR Epstein-Barr Virus infection
44	obo.MONDO_0006011	viral hepatitis	"Hepatitis viral" | "Viruses caused hepatitis" | "Viruses hepatitis" | "human viral hepatitis" | "viral Hepatitis" | "viral human hepatitis"	viral hepatitis OR Hepatitis viral OR Viruses hepatitis OR human viral hepatitis OR viral Hepatitis OR viral human hepatitis
45	obo.MONDO_0000288	polycystic echinococcosis	"human polycystic hydatid disease" | "neotropical echinococcosis"	polycystic echinococcosis OR neotropical echinococcosis
46	obo.MONDO_0005738	echinococcosis	"Echinococcus caused disease or disorder" | "Echinococcus disease or disorder" | "Echinococcus infectious disease" | "echinococcosis" | "echinococcosis of liver" | "liver echinococcus"	echinococcosis OR echinococcosis OR echinococcosis of liver OR liver echinococcus
47	obo.MONDO_0000290	primary amebic meningoencephalitis	Naegleria fowleri infection	primary amebic meningoencephalitis OR Naegleria fowleri infection
48	obo.MONDO_0002428	protozoa infectious disease	protozoal infection	protozoal infection
49	obo.MONDO_0020067	infectious encephalitis	encephalitis infection	infectious encephalitis OR encephalitis infection
50	obo.MONDO_0000291	granulomatous amebic encephalitis	granulomatous amoebic encephalitis	granulomatous amebic encephalitis OR granulomatous amoebic encephalitis
51	obo.MONDO_0021747	Acanthamoeba infectious disease	"Acanthamoeba infection" | "infection by Acanthamoeba"	Acanthamoeba infection OR infection by Acanthamoeba
52	obo.MONDO_0000292	philophthalmiasis	"Philophthalmus caused disease or disorder" | "Philophthalmus disease or disorder" | "Philophthalmus infectious disease"	philophthalmiasis
53	obo.MONDO_0005739	echinostomiasis	"Echinostomatoidea caused disease or disorder" | "Echinostomatoidea disease or disorder" | "Echinostomatoidea infectious disease" | "infection by Echinochasmus"	echinostomiasis OR infection by Echinochasmus
54	obo.MONDO_0000293	coenurosis	"caenurosis" | "coenuriasis" | "coenurosis"	coenurosis OR coenuriasis OR coenurosis
55	obo.MONDO_0000367	taeniasis	"Taenia infection" | "taenia saginata infection"	taeniasis OR Taenia infection OR taenia saginata infection
56	obo.MONDO_0000294	mesocestoidiasis	"Mesocestoides caused disease or disorder" | "Mesocestoides disease or disorder" | "Mesocestoides infectious disease" | "infection by Mesocestoides"	mesocestoidiasis OR infection by Mesocestoides
57	obo.MONDO_0042488	Cestode infectious disease	"Cestoda caused disease or disorder" | "Cestoda disease or disorder" | "Cestoda infectious disease" | "cestode infection"	cestode infection
58	obo.MONDO_0000295	acanthocephaliasis	"Acanthocephala caused disease or disorder" | "Acanthocephala disease or disorder" | "Acanthocephala infectious disease" | "disease caused by Acanthocephala" | "disease due to Acanthocephala" | "infection by Acanthocephala" | "infection by thorny-headed worm"	acanthocephaliasis OR infection by Acanthocephala
59	obo.MONDO_0004664	helminthiasis	"helminth infection" | "helminthiasis" | "helminthosis" | "parasitic helminthiasis infectious disease"	helminthiasis OR helminth infection OR helminthiasis OR helminthosis
60	obo.MONDO_0000297	baylisascariasis	"Baylisascaris procyonis caused disease or disorder" | "Baylisascaris procyonis disease or disorder" | "Baylisascaris procyonis infectious disease" | "raccoon roundworm infection"	baylisascariasis OR raccoon roundworm infection
61	obo.MONDO_0005656	Ascaridida infectious disease	"Ascaridida caused disease or disorder" | "Ascaridida disease or disorder"	Ascaridida AND disease
62	obo.MONDO_0000298	dioctophymiasis	"Dioctophyme renale caused disease or disorder" | "Dioctophyme renale disease or disorder" | "Dioctophyme renale infection" | "Dioctophyme renale infectious disease"	dioctophymiasis OR Dioctophyme renale infection
63	obo.MONDO_0005745	Enoplea infectious disease	"Enoplea caused disease or disorder" | "Enoplea disease or disorder"	Enoplea AND disease
64	obo.MONDO_0000299	thelaziasis	"Thelazia caused disease or disorder" | "Thelazia disease or disorder" | "Thelazia infectious disease" | "infection by Thelazia" | "thelaziasis"	thelaziasis OR infection by Thelazia OR thelaziasis
65	obo.MONDO_0000301	ophthalmomyiasis	"Oestrus ovis caused myiasis" | "Oestrus ovis myiasis" | "ophthalmic myiasis" | "ophthalmomyiasis"	ophthalmomyiasis OR ophthalmic myiasis OR ophthalmomyiasis
66	obo.MONDO_0019147	myiasis	"infestation by fly larvae" | "infestation by maggots" | "maggot infestation" | "myiasis, unspecified"	myiasis OR infestation by fly larvae OR infestation by maggots OR maggot infestation
67	obo.MONDO_0005805	hypodermyiasis	"Oestridae caused disease or disorder" | "Oestridae disease or disorder" | "Oestridae infectious disease"	hypodermyiasis
68	obo.MONDO_0000302	basidiobolomycosis	"Basidiobolus caused disease or disorder" | "Basidiobolus disease or disorder" | "Basidiobolus infectious disease" | "basidiobolomycosis" | "infection by Basidiobolus" | "infection caused by Basidiobolus"	basidiobolomycosis OR basidiobolomycosis
69	obo.MONDO_0019136	Zygomycosis	"Zygomycota infectious disease" | "mucormycosis"	Zygomycosis OR mucormycosis
70	obo.MONDO_0000303	conidiobolomycosis	"Conidiobolus infectious disease" | "infection by Conidiobolus"	conidiobolomycosis OR infection by Conidiobolus
71	obo.MONDO_0000304	penicilliosis	"Penicillium marneffei infectious disease" | "Talaromyces marneffei caused disease or disorder" | "Talaromyces marneffei disease or disorder" | "Talaromyces marneffei infectious disease" | "infection caused by Penicillium marneffei" | "infection caused by Talaromyces marneffei" | "infection due to Penicillium marneffei"	penicilliosis
72	obo.MONDO_0000306	trichosporonosis	"Trichosporon caused disease or disorder" | "Trichosporon disease or disorder" | "Trichosporon infectious disease"	trichosporonosis
73	obo.MONDO_0000307	parasitic Ichthyosporea infectious disease	"Ichthyosporea caused disease or disorder" | "Ichthyosporea disease or disorder" | "Ichthyosporea infectious disease"	Ichthyosporea AND disease
74	obo.MONDO_0005135	parasitic infectious disease	"disease caused by parasite" | "parasitic disease" | "parasitic infection" | "parasitic infectious disease"	parasitic infectious disease OR disease caused by parasite OR parasitic disease OR parasitic infection OR parasitic infectious disease
75	obo.MONDO_0002312	opportunistic mycosis	opportunistic mycoses	opportunistic mycosis OR opportunistic mycoses
76	obo.MONDO_0000310	Alkhurma hemorrhagic fever	"Alkhumra hemorrhagic fever virus caused disease or disorder" | "Alkhumra hemorrhagic fever virus disease or disorder" | "Alkhumra hemorrhagic fever virus infectious disease"	Alkhurma hemorrhagic fever
77	obo.MONDO_0017881	Kyasanur forest disease	"Kyasanur forest disease virus caused disease or disorder" | "Kyasanur forest disease virus disease or disorder" | "Kyasanur forest disease virus infectious disease" | "Kyasanur hemorrhagic fever"	Kyasanur forest disease
78	obo.MONDO_0005113	bacterial infectious disease	"Bacteria caused disease or disorder" | "Bacteria disease or disorder" | "Bacteria infectious disease" | "bacterial disease" | "bacterial disorder" | "bacterial infection" | "bacterial infectious disease" | "infection, bacterial"	bacterial infectious disease OR Bacteria infectious disease OR bacterial disease OR bacterial disorder OR bacterial infection OR bacterial infectious disease OR ("infection" AND " bacterial")
79	obo.MONDO_0000320	glandular tularemia	lymph node tularemia	glandular tularemia OR lymph node tularemia
80	obo.MONDO_0018077	tularemia	"Francisella tularensis caused disease or disorder" | "Francisella tularensis disease or disorder" | "Francisella tularensis infectious disease"	tularemia
81	obo.MONDO_0000327	Buruli ulcer disease	"Bairnsdale ulcer" | "Buruli ulcer" | "Daintree ulcer" | "Mossman ulcer" | "Mycobacterium ulcerans caused disease or disorder" | "Mycobacterium ulcerans disease or disorder" | "Mycobacterium ulcerans infectious disease" | "Searl ulcer" | "Searle's ulcer"	Buruli ulcer disease OR Bairnsdale ulcer OR Buruli ulcer OR Daintree ulcer
82	obo.MONDO_0020590	mycobacterial infectious disease	"mycobacterial infection" | "mycobacteriosis" | "mycobacterium infection"	mycobacterial infectious disease OR mycobacterial infection OR mycobacteriosis OR mycobacterium infection
83	obo.MONDO_0000330	endemic typhus	"Rickettsia felis spotted fever" | "cat flea rickettsiosis" | "endemic flea-borne typhus" | "endemic typhus fever" | "fleaborne typhus" | "murine typhus" | "rat-flea typhus" | "toulon typhus" | "urban typhus" | "urban typhus of Malaya"	endemic typhus OR endemic flea-borne typhus OR endemic typhus fever OR fleaborne typhus OR murine typhus OR urban typhus
84	obo.MONDO_0001246	typhus	"typhus fever" | "typhus-group rickettsiae disease" | "typhus-group rickettsiosis"	typhus OR typhus fever OR typhus-group rickettsiosis
85	obo.MONDO_0000331	Rickettsia helvetica spotted fever	"Rickettsia helvetica aneruptive fever" | "Rickettsia helvetica caused disease or disorder" | "Rickettsia helvetica disease or disorder" | "Rickettsia helvetica infectious disease" | "aneruptive fever"	Rickettsia helvetica AND (spotted fever OR aneruptive fever)
86	obo.MONDO_0000332	sennetsu fever	"Neorickettsia sennetsu caused disease or disorder" | "Neorickettsia sennetsu disease or disorder" | "Neorickettsia sennetsu infectious disease" | "sennetsu ehrlichiosis" | "sennetsu fever"	sennetsu fever OR sennetsu ehrlichiosis OR sennetsu fever
87	obo.MONDO_0024416	Neorickettsia infectious disease	"Neorickettsia caused disease or disorder" | "Neorickettsia disease or disorder" | "neorickettsiosis"	neorickettsiosis
88	obo.MONDO_0005714	congenital syphilis	"MTCT of syphilis" | "congenital syphilis" | "mother-to-child transmission of syphilis"	congenital syphilis OR congenital syphilis OR mother-to-child transmission of syphilis
89	obo.MONDO_0004944	neurosyphilis	"late neurosyphilis" | "neurosyphilis" | "tertiary neurosyphilis"	neurosyphilis OR late neurosyphilis OR neurosyphilis OR tertiary neurosyphilis
90	obo.MONDO_0000337	exanthema subitum	"exanthem subitum" | "roseola" | "roseola Infantum" | "sixth disease"	exanthema subitum OR exanthem subitum OR roseola OR roseola Infantum OR sixth disease
91	obo.MONDO_0005108	viral infectious disease	"Viruses caused disease or disorder" | "Viruses disease or disorder" | "Viruses infection" | "Viruses infectious disease" | "infection, viral" | "viral disease" | "viral disorder" | "viral infection" | "virus infection"	viral infectious disease OR Viruses infection OR ("infection" AND " viral") OR viral disease OR viral disorder OR viral infection OR virus infection
92	obo.MONDO_0004651	smallpox	"Variola virus caused disease or disorder" | "Variola virus disease or disorder" | "Variola virus infectious disease" | "ordinary smallpox"	smallpox OR ordinary smallpox
93	obo.MONDO_0017373	poliomyelitis	"Polia" | "acute poliomyelitis" | "polio" | "poliomyelitis"	poliomyelitis OR acute poliomyelitis OR poliomyelitis
94	obo.MONDO_0003231	acute nonparalytic poliomyelitis	"acute nonparalytic poliomyelitis" | "nonparalytic poliomyelitis"	nonparalytic poliomyelitis
95	obo.MONDO_0000342	O'nyong'nyong fever	"O'nyong-nyong virus caused disease or disorder" | "O'nyong-nyong virus disease or disorder" | "O'nyong-nyong virus infectious disease"	
96	obo.MONDO_0005643	Alphavirus infectious disease	"Alphavirus caused disease or disorder" | "Alphavirus disease or disorder"	
97	obo.MONDO_0000343	Barmah forest virus disease	"Barmah Forest virus caused disease or disorder" | "Barmah Forest virus disease or disorder" | "Barmah Forest virus infectious disease"	Barmah forest virus disease
98	obo.MONDO_0000344	Ross river fever	"Ross River virus caused disease or disorder" | "Ross River virus disease" | "Ross River virus disease or disorder" | "Ross River virus infectious disease"	Ross river fever OR Ross River virus disease
99	obo.MONDO_0000345	Oropouche fever	"Oropouche virus caused disease or disorder" | "Oropouche virus disease or disorder" | "Oropouche virus infectious disease"	Oropouche fever
100	obo.MONDO_0021641	Bunyaviridae infectious disease	"Bunyaviridae caused disease or disorder" | "Bunyaviridae disease or disorder" | "Bunyaviridae infectious disease" | "disease due to Bunyaviridae"	
101	obo.MONDO_0000346	Hantavirus hemorrhagic fever with renal syndrome, Dobrava-Belgrade virus type	Balkan hemorrhagic fever	
102	obo.MONDO_0004497	tertiary syphilis	"late syphilis" | "late tertiary syphilis" | "tertiary syphilis"	tertiary syphilis OR late syphilis OR late tertiary syphilis OR tertiary syphilis
103	obo.MONDO_0024271	intestinal helminthiasis	intestine parasitic helminthiasis infectious disease	intestinal helminthiasis
104	obo.MONDO_0006052	pulmonary tuberculosis	"lung TB" | "lung tuberculosis" | "pulmonary TB"	pulmonary tuberculosis OR lung TB OR lung tuberculosis OR pulmonary TB
105	obo.MONDO_0000369	abdominal tuberculosis	tuberculosis of abdomen	abdominal tuberculosis
106	obo.MONDO_0000409	chorioamnionitis	"fetal membrane inflammation" | "inflammation of fetal membrane" | "intra-amniotic infection"	chorioamnionitis OR fetal membrane inflammation OR intra-amniotic infection
107	obo.MONDO_0000565	infective endocarditis	endocarditis infective	infective endocarditis OR endocarditis infective
108	obo.MONDO_0000705	Clostridium difficile colitis	"C. diff colitis" | "C. diff infection" | "Clostridioides difficile caused colitis (disease)" | "Clostridioides difficile colitis (disease)" | "Clostridium difficile infection" | "pseudomembranous colitis"	Clostridium difficile colitis OR C. diff colitis OR C. diff infection OR Clostridium difficile infection OR pseudomembranous colitis
109	obo.MONDO_0006039	infectious colitis	infectious colitis	infectious colitis OR infectious colitis
110	obo.MONDO_0012268	AIDS	"AIDS" | "acquired immunodeficiency syndrome" | "acquired immune deficiency" | "acquired immunodeficiency disease"	acquired immunodeficiency syndrome OR acquired immune deficiency OR acquired immunodeficiency disease
111	obo.MONDO_0000744	lung abscess		lung abscess
112	obo.MONDO_0005227	abscess		abscess
113	obo.MONDO_0000758	bacillary angiomatosis	"Bartonella angiomatosis" | "Bartonella caused angiomatosis" | "bacillary angiomatosis" | "bacillary epithelioid angiomatosis" | "epithelioid angiomatosis"	bacillary angiomatosis OR bacillary angiomatosis OR bacillary epithelioid angiomatosis OR epithelioid angiomatosis
114	obo.MONDO_0005664	bartonellosis	"Bartonella caused disease or disorder" | "Bartonella disease or disorder" | "Bartonella infection" | "Bartonella infectious disease" | "Rochalimaea infection (disorder)" | "bartonelliasis"	bartonellosis OR Bartonella infection
115	obo.MONDO_0024295	skin disease caused by bacterial infection	"Bacteria caused skin disease caused by infection" | "Bacteria skin disease caused by infection"	
116	obo.MONDO_0000827	salmonellosis	"Salmonella infection" | "rare form of salmonellosis"	salmonellosis OR Salmonella infection
117	obo.MONDO_0001517	dysentery	"diarrheal disease, infectious" | "dysenteric diarrhea" | "infectious diarrhea" | "infectious diarrheal disease" | "infectious diarrheal diseases" | "infective diarrhea"	dysentery OR ("diarrheal disease" AND " infectious") OR dysenteric diarrhea OR infectious diarrhea OR infectious diarrheal disease OR infectious diarrheal diseases OR infective diarrhea
118	obo.MONDO_0000878	cytomegalovirus retinitis	"CMV retinitis" | "Cytomegaloviral Retinitis" | "Cytomegalovirus caused retinitis" | "Cytomegalovirus retinitis" | "Retinitis, Cytomegaloviral" | "cytomegalovirus retinitis"	cytomegalovirus retinitis OR CMV retinitis OR Cytomegaloviral Retinitis OR Cytomegalovirus retinitis OR cytomegalovirus retinitis
119	obo.MONDO_0005132	cytomegalovirus infection	"CMV infection" | "Cytomegaloviral infection" | "HCMV infection"	cytomegalovirus infection OR CMV infection OR Cytomegaloviral infection OR HCMV infection
120	obo.MONDO_0020010	infectious disorder of the nervous system	"nervous system infectious disease" | "nervous system infectious disorder"	nervous system infectious disease
121	obo.MONDO_0020950	viral eye infection	viral eye infection	
122	obo.MONDO_0000879	cutaneous candidiasis	zone of skin candidiasis	cutaneous candidiasis
123	obo.MONDO_0002026	candidiasis	"Candida <Debaryomycetaceae> infection" | "Candida infection" | "Candidosis" | "thrush"	candidiasis OR Candida infection OR Candidosis OR thrush
124	obo.MONDO_0000889	haemophilus meningitis	"Haemophilus influenzae bacterial meningitis" | "Haemophilus influenzae caused bacterial meningitis"	haemophilus meningitis OR Haemophilus influenzae bacterial meningitis
125	obo.MONDO_0006670	bacterial meningitis	"Bacteria caused infectious meningitis" | "Bacteria infectious meningitis"	bacterial meningitis
126	obo.MONDO_0006926	haemophilus infectious disease	"Haemophilus caused disease or disorder" | "Haemophilus disease or disorder" | "Haemophilus infectious disease" | "haemophilus infectious disease"	
127	obo.MONDO_0000890	Zika virus congenital syndrome	"ZIKV congenital infection" | "congenital Zika syndrome" | "congenital Zika virus infection"	Zika virus congenital syndrome OR ZIKV congenital infection OR congenital Zika syndrome OR congenital Zika virus infection
128	obo.MONDO_0018661	Zika virus infectious disease	"ZikV infection" | "Zika" | "Zika virus caused disease or disorder" | "Zika virus disease" | "Zika virus disease or disorder" | "Zika virus infection" | "Zika virus infectious disease"	ZikV infection OR Zika virus disease OR Zika virus infection
129	obo.MONDO_0000916	intestinal infectious disease	bacterial enteritis	intestinal infectious disease OR bacterial enteritis
130	obo.MONDO_0000936	syphilitic meningitis	"Treponema caused infectious meningitis" | "Treponema infectious meningitis"	syphilitic meningitis
131	obo.MONDO_0004796	infectious meningitis	"infectious meningitis" | "infective meningitis"	infectious meningitis OR infectious meningitis OR infective meningitis
132	obo.MONDO_0007000	Treponema infectious disease	"Treponema caused disease or disorder" | "Treponema disease or disorder"	
133	obo.MONDO_0041825	bacterial meningitis caused by gram-negative bacteria	"bacterial meningitis caused by gram-negative bacteria" | "bacterial meningitis due to gram-negative bacteria"	
134	obo.MONDO_0000937	syphilitic encephalitis	"Treponema caused encephalitis" | "Treponema encephalitis"	syphilitic encephalitis
135	obo.MONDO_0024619	central nervous system infectious disorder	"central nervous system infectious disease" | "central nervous system infectious disorder" | "infectious disease of central nervous system"	central nervous system infectious disease OR infectious disease of central nervous system
136	obo.MONDO_0000940	trypanosomiasis	"Trypanosoma caused disease or disorder" | "Trypanosoma disease or disorder" | "Trypanosoma infectious disease"	trypanosomiasis
137	obo.MONDO_0000979	pinta disease	pinta	pinta disease
138	obo.MONDO_0000981	Histoplasma pericarditis	"Histoplasma caused pericarditis (disease)" | "Histoplasma pericarditis (disease)" | "histoplasmosis pericarditis" | "histoplasmosis with pericarditis"	Histoplasma pericarditis OR histoplasmosis pericarditis
139	obo.MONDO_0018312	histoplasmosis	"Histoplasma caused disease or disorder" | "Histoplasma disease or disorder" | "Histoplasma infectious disease" | "darling disease"	histoplasmosis
140	obo.MONDO_0000989	mumps infectious disease	"Mumps virus caused disease or disorder" | "Mumps virus disease or disorder" | "Mumps virus infectious disease" | "epidemic parotitis" | "mumps"	epidemic parotitis
141	obo.MONDO_0005896	Paramyxoviridae infectious disease	"Paramyxoviridae caused disease or disorder" | "Paramyxoviridae disease or disorder"	
142	obo.MONDO_0019095	plague	plague	plague
143	obo.MONDO_0001025	seminal vesicle chronic gonorrhea	"chronic gonococcal seminal vesiculitis" | "gonococcal seminal vesiculitis, chronic"	
144	obo.MONDO_0004277	gonorrhea	"GC" | "Neisseria gonorrhoeae infection" | "chronic gonococcal infectious disease of lower genitourinary tract" | "chronic gonococcal infectious disease of upper genitourinary tract"	gonorrhea OR Neisseria gonorrhoeae infection
145	obo.MONDO_0017210	infectious anterior uveitis	"infectious secondary iridocyclitis" | "secondary infected iridocyclitis" | "secondary iridocyclitis, infectious"	infectious anterior uveitis
146	obo.MONDO_0001051	acute otitis externa	"acute bacterial inflammation of external ear" | "acute otitis externa" | "acute otitis externa, diffuse" | "acute swimmer's ear" | "acute swimmers' ear" | "beach ear" | "otitis externa, acute" | "tank ear"	acute otitis externa OR acute otitis externa OR beach ear
147	obo.MONDO_0001052	chronic fungal otitis externa	"chronic mycotic otitis externa" | "chronic otomycosis" | "otomycosis, chronic"	chronic mycotic otitis externa
148	obo.MONDO_0001066	late yaws	"gummata and ulcers due to yaws" | "gummata of yaws" | "gummatous frambeside" | "multiple papillomata due to yaws and wet crab yaws" | "nodular late yaws" | "ulcers of yaws" | "yaws gummata and ulcers"	late yaws
149	obo.MONDO_0006019	yaws	"Bouba" | "Treponema pallidum subsp. pertenue caused disease or disorder" | "Treponema pallidum subsp. pertenue disease or disorder" | "Treponema pallidum subsp. pertenue infectious disease" | "frambesia" | "frambesia tropica" | "frambosie" | "polypapilloma tropicum" | "thymosis"	frambesia OR frambesia tropica OR frambosie
150	obo.MONDO_0006718	cutaneous syphilis	"Treponema pallidum caused skin disease caused by bacterial infection" | "Treponema pallidum skin disease caused by bacterial infection"	cutaneous syphilis
151	obo.MONDO_0001067	early yaws	"bone and joint lesions due to yaws" | "bone and joint yaws lesion" | "chancre of yaws" | "frambesia, initial or primary" | "initial frambesial ulcer" | "initial lesions of yaws" | "primary frambesia"	early yaws OR chancre of yaws OR ("frambesia" AND " initial or primary")
152	obo.MONDO_0001080	acute gonococcal cervicitis	"acute gonorrhea of cervix" | "gonococcal cervicitis (acute)" | "gonococcal cervicitis, acute"	
153	obo.MONDO_0021157	gonococcal cervicitis	"gonorrhea of cervix" | "gonorrhea of uterine cervix"	gonococcal cervicitis
154	obo.MONDO_0001103	giardiasis	"Giardia infection" | "beaver feaver" | "infection by Giardia lamblia"	giardiasis OR Giardia infection OR infection by Giardia lamblia
155	obo.MONDO_0024270	parasitic intestinal disorder	"intestine parasitic infection" | "parasitic intestinal disease"	parasitic intestinal disease
156	obo.MONDO_0001110	chronic pyelonephritis	pyelonephritis, chronic	chronic pyelonephritis OR ("pyelonephritis" AND " chronic")
157	obo.MONDO_0006939	pyelonephritis	kidney infection	pyelonephritis OR kidney infection
158	obo.MONDO_0001112	bubonic plague	black death	bubonic plague OR black death
159	obo.MONDO_0001118	Queensland tick typhus	Rickettsia australis spotted fever	Queensland tick typhus
