ID	ORG_ID	CORPUS_NAME	CURIS	MONOGENIC	DESCRIPTION	TERMS	ABBREVS	NOTES	TWITTER
34	16	KIF1A Associated Neurological Disorder	MONDO:0013656		KIF1A Associated Neurological Disorder (KAND)	KIF1A-related disorder | KIF1A hereditary spastic paraplegia | hereditary spastic paraplegia % KIF1A | KIF1A disorder | KIF1A Missense Variant | KIF1A gene Missense Variant | Spastic paraplegia 30 | "NESCAV syndrome" 	MRD9 | HSN2C | SPG30 | KAND		@KIF1A
35	16	Neuropathy, hereditary sensory, type 2C	MONDO:0013634			HSN2C | "hereditary sensory neuropathy" & (2c | IIC) | hereditary sensory and autonomic neuropathy & (type 2 | II )			
36	16	KIF1A hereditary spastic paraplegia	MONDO:0012476			KIF1A hereditary spastic paraplegia | SPG30 | "spastic paraplegia 30"			
37	17	Lennox-Gastaut Syndrome	MONDO:0016532		Lennox-Gastaut Syndrome (LGS)	Lennox-Gastaut syndrome | Lennox syndrome			@LGS_Foundation
38	18	Li-Fraumeni Syndrome	MONDO:0018875	x	Li-Fraumeni Syndrome	Li-Fraumeni syndrome | SBLA syndrome | Li Fraumeni syndrome | (sarcoma & breast & leukaemia & adrenal gland) & syndrome | Li-Fraumeni familial cancer susceptibility syndrome | sarcoma family syndrome of Li and Fraumeni | Li-Fraumeni syndrome			@LFSAssociation
39	19	Gorham-Stout disease	MONDO:0007414		Complex lymphatic anomalies (CLA's): Gorham-Stout disease (GSD), generalized lymphatic anomaly (GLA) (formerly known as lymphangiomatosis), and kaposiform lymphangiomatosis (KLA)	Gorham-Stout disease | kaposiform lymphangiomatosis| osteolysis massive | Gorham-Stout disease | diffuse cystic angiomatosis of bone | massive osteolysis | diffuse cystic angiomatosis of bone | Gorham disease | progressive massive osteolysis | idiopathic massive osteolysis | vanishing bone disease | Gorham syndrome | disseminated lymphangiomatosis | disseminated lymphangioma |  generalized lymphatic anomaly | diffuse lymphangioma |  disseminated lymphatic malformation | diffuse lymphangiomatosis | Central Conducting Lymphatic Anomalies | Central Conducting Lymphatic Anomaly | vanishing bone disease			@LGDAlliance
40	19	Diffuse lymphatic malformation	MONDO:0015408			generalized lymphatic anomaly | "disseminated lymphangiomatosis" | "diffuse lymphangiomatosis" | "diffuse lymphangioma"			
41	19	Kaposiform lymphangiomatosis	MONDO:0018736			Kaposiform lymphangiomatosis			
42	20	Necrotizing enterocolitis	MONDO:0005313		Necrotizing enterocolitis	necrotizing enterocolitis			@NECsociety
43	21	Trisomy 8p	MONDO:0017013		Chromosome 8P disorders	trisomy 8p | (8p & (inverted | duplication | deletion) & syndrome) | partial deletion of the short arm of chromosome 8 | recombinant 8 syndrome|Duplication 8p | trisomy type 8p |  San Luis Valley syndrome |  Recombinant chromosome 8 syndrome | San Luis Valley recombinant chromosome 8 syndrome | Rec8 syndrome	SCZD6	This may be an example where we should drive querying the literature based on 'research involving 8p' rather than focussing on specific diseases (see https://project8p.org/chromosome8p/)	@chromosome8p
44	21	8p inverted duplication/deletion syndrome	MONDO:0019876			8p inverted duplication deletion syndrome | (Invdupdel & 8p)			
45	21	Partial deletion of the short arm of chromosome 8	MONDO:0016890			partial deletion of chromosome 8p | "partial monosomy of chromosome 8p" | "partial deletion of the short arm of chromosome type 8" | "8p monosomy"			
46	21	SCZD6	MONDO:0011280			schizophrenia 6			
47	21	Recombinant 8 syndrome	MONDO:0008365			Recombinant 8 syndrome | Recombinant chromosome 8 syndrome | San Luis Valley syndrome			
48	21	8p chromosomal disorders			Just a general search for chromosomal 8p papers 	8p chromosome & ( monosomy | trisomy | deletion | duplications | translocations | rings | mosaicism | isochromosome | inversion )			
49	22	Primary sclerosing cholangitis	MONDO:0013433		Primary sclerosing cholangitis (PSC); most common co-morbidities are inflammatory bowel disease (mostly ulcerative colitis [UC] and autoimmune hepatitis [AIH])	Primary sclerosing cholangitis			@PSCPartners
50	23	Systemic Juvenile Idiopathic Arthritis	MONDO:0019434		SJIA (Systemic Juvenile Idiopathic Arthritis) with a focus on SJIA-PAP (SJIA Lung Disease)	systemic-onset juvenile idiopathic arthritis | systemic juvenile idiopathic arthritis | Stills disease	SoJIA | sJIA	No mention of SJIA Lung Disease in MONDO	@sjiafoundation
51	24	TANGO2-Related Metabolic Encephalopathy and Arrhythmias	MONDO:0018820	x	TANGO2-Related Metabolic Encephalopathy and Arrhythmias	tango2 & (mutation | deficiency | disorder | disease)	MECRCN|TANGO2	Not listed on MONDO, GARD:13423 (https://rarediseases.info.nih.gov/diseases/13423/tango2-related-metabolic-encephalopathy-and-arrhythmias)	@TANGO2Research
52	25	SLC13A5 Deficiency	MONDO:0014392		SLC13A5 Deficiency Citrate Transporter Disorder Early Infantile Epileptic Encephalopathy 25  Kohlschütter-Tönz syndrome (non-ROGDI)  GARD: 12901 OMIM: 608305	SLC13A5 deficiency| SLC13A5 deficient|SLC13A5 Deficiency|EIEE25|EIEE-25|Kohlschutter-Tonz Syndrome	EIEE25 | EIEE25	Is Citrate Transporter Disorder the same as SLC13A5?,  What is Kohlschütter-Tönz syndrome (non-ROGDI)?	@TESSResearch
53	26	Pearson Syndrome	MONDO:0010797		Pearson Syndrome; mitochondrial DNA (mtDNA) deletion disorders	Pearson syndrome | multiple mitochondrial DNA deletion syndrome | sideroblastic Anemia with marrow cell vacuolization and exocrine pancreatic dysfunction | Pearson marrow-pancreas syndrome | Pearson's syndrome | sideroblastic anemia with marrow cell vacuolization and exocrine pancreatic dysfunction | multiple mtDNA deletion syndrome		Do we need to include all subterms in the query?	@TheChampFound
54	26	Multiple mitochondrial DNA deletion syndrome	MONDO:0016797			multiple mitochondrial DNA deletion syndrome | multiple mtDNA deletion syndrome			
55	27	Epithelioid Hemangioendothelioma	MONDO:0015523		Epithelioid Hemangioendothelioma	epithelioid hemangioendothelioma|epithelioid hemangioendothelioma | epithelioid angioendothelioma | malignant epithelioid hemangioendothelioma | epithelioid angiosarcoma			@fightEHE
56	28	Snyder-Robinson Syndrome	MONDO:0010664	x		Snyder-Robinson syndrome	MRXSSR		@Snyder_Robinson
57	29	4H Leukodystrophy	MONDO:0019505			4H syndrome | 4H Leukodystrophy		How is this related to HLD8?	@yaya4HL
58	30	Usher Syndrome type 1F	MONDO:0011186		Usher Syndrome type 1F	(Usher syndrome & type 1F) | (USHER syndrome & type IF)	USH1F		@Usher1F
59	31	Leukoencephalopathy with Brain Stem and Spinal Cord Involvement and Lactate Elevation (LBSL)	MONDO:0012622	x	Leukoencephalopathy with Brain Stem and Spinal Cord Involvement and Lactate Elevation (LBSL). LBSL is caused by an abnormal variant (mutation) in the DARS2 gene.	leukoencephalopathy with brain stem and spinal cord involvement | leukoencephalopathy & (brain | spinal cord) 			
60	32	Nemaline Myopathy	MONDO:0018958		Nemaline Myopathy	Nemaline Myopathy | nemaline rod myopathy | nemaline body disease | rod myopathy			
61	33	Cerebral cavernous malformation	MONDO:0000820		Cerebral cavernous malformation, also known as cavernoma or cavernous angioma	Cerebral cavernous malformation | cavernous angiomatous malformations | cerebral capillary malformations			
62	34	CACNA1A-related disorders	MONDO:0014917		CACNA1A-related disorders	(early|infant) & (epileptic | epilepsy) & CACNA1A			
63	35	Lafora Disease	MONDO:0009697		Lafora Disease: autosomal recessive, childhood dementia, and progressive myoclonus epilepsy	Lafora			
64	36	VCP Myopathy	MONDO:0018006	x	VCP disease is an adult-onset, autosomal dominant, genetic disease caused by a mutation in the VCP gene. The original clinical name of VCP disease is IBMPFD, which identifies the three primary phenotypes originally associated with VCP:  Inclusion Body Myopathy (IBM), Paget's disease of bone (P), and frontotemporal dementia (FTD). In 2019, clinicians and researchers began categorizing this disease as multisystem proteinopathy (MSP-1) because it is a protein disorder that affects multiple body systems. Other phenotypes associated with the presence of a VCP variant are amyotrophic lateral sclerosis (ALS), Charcot-Marie-Tooth disease (CMT), Parkinsonism, cataracts, and cardiomyopathy.  VCP disease is multisystem and not mutually exclusive to one system; therefore, a VCP patient may have one, two, or any combination of these disparate conditions.   (For the purpose of this application, “VCP disease” will be used to refer to the rare disease represented by Cure VCP Disease, Inc. )	VCP myopathy | VCP Disease			
65	37	Seizures, benign familial infantile, 3	MONDO:0011904		SCN2A -related disorders, SCN2A DEE, SCN2A - related epilepsy, SCN2A-related autism	scn2a & (epilepsy | seizure)		Need to check the queries for this	
66	37	Developmental and epileptic encephalopathy, 11	MONDO:0013388		SCN2A -related disorders, SCN2A DEE, SCN2A - related epilepsy, SCN 	scn2a & (epilepsy | seizure)		Need to check the queries for this	
67	38	Sarcoidosis	MONDO:0019338		Sarcoidosis	sarcoidosis			
68	39	Hereditary pancreatitis	MONDO:0008185		Hereditary pancreatitis (recurrent acute and chronic)	Hereditary pancreatitis			
69	40	PACS1 syndrome	MONDO:0014006		PACS1 syndrome (also known as Schuurs-Hoeijmakers Syndrome)	Schuurs-Hoeijmakers syndrome | PACS1 Syndrome			
70	41	Primary Ciliary Dyskinesia	MONDO:0016575		Primary Ciliary Dyskinesia	primary ciliary dyskinesia|ciliary dyskinesia primary | Dextrocardia-bronchiectasis-sinusitis syndrome | kartageners syndrome | Primary ciliary dyskinesia and situs inversus | Siewert syndrome | Kartagener syndrome | immotile ciliary syndrome | Kartagener's syndrome | (bronchiectasis & chronic sinusitis & dextrocardia) & syndrome | ciliary motility disorder			@PCDFoundation
71	42	Progressive Familial Intrahepatic Cholestasis (PFIC)	MONDO:0015762		Progressive Familial Intrahepatic Cholestasis (PFIC)	Progressive Familial Intrahepatic Cholestasis			
72	43	Craniopharyngioma	MONDO:0018907		Craniopharyngioma	craniopharyngioma | Rathke's pouch tumor | cystoma | Rathke pouch neoplasm			
73	44	Recurrent Respiratory Papillomatosis	MONDO:0018955		Recurrent Respiratory Papillomatosis, laryngeal papillomatosis, glottal papillomatosis, tracheal papillomatosis, pulmonary spread of RRP, HPV 6, HPV 11, JORRP, AORRP, Squamous Cell Carcinoma arising from pulmonary recurrent respiratory papillomatosis	Recurrent Respiratory Papillomatosis |   glottal papillomatosis | tracheal papillomatosis			
74	44	Laryngeal papillomatosis	MONDO:0023597			laryngeal papillomatosis | (Recurrent Respiratory Papillomatosis) & (larynx | laryngeal)			
75	45	Shwachman-Diamond Syndrome	MONDO:0009833		Shwachman-Diamond Syndrome (SDS)	Shwachman Diamond | Shwachman-Bodian-Diamond			
76	46	Smith-Kingsmore syndrome	MONDO:0014716		Smith-Kingsmore syndrome (SKS), which is caused by mutations in the MTOR gene (mechanistic target of rapamycin, formerly called mammalian target of rapamycin), found at chromosome location 1p36.	Smith-Kingsmore syndrome			
77	47	Tatton Brown Rahman Syndrome	MONDO:0014382	x	Tatton Brown Rahman Syndrome (TBRS) - Also referred to as DNMT3A Overgrowth Syndrome	Tatton Brown Rahman Syndrome | DNMT3A Overgrowth Syndrome			
78	48	TBCK Syndrome	MONDO:0014823	x	The TBCK Foundation supports TBCK Syndrome, which is a very rare neuro-genetic disease.	TBCK Syndrome | TBCK Encephalopathy | TBCK-associated encephalopathy | TBCK Encephaloneuropathy | TBCK Mutation			
79	49	Dyskeratosis congenita	MONDO:0015780		Dyskeratosis congenita (DC)	dyskeratosis congenita | Zinsser-Engman-Cole syndrome			
80	49	Telomere syndrome	MONDO:0100137		telomere biology disorders (TBD)	telomere syndrome | short telomere syndrome			
81	50	The Stiff Person Syndrome	MONDO:0008491	x	Stiff Person Syndrome (SPS)	stiff man syndrome | stiff person syndrome | Moersch-Woltman syndrome			
82	51	Pontocerebellar hypoplasias (PCH)	MONDO:0020135	x	PCH-Familie e. V. 	isolated pontocerebellar hypoplasia | nonsyndromic pontocerebellar hypoplasia | pontocerebellar hypoplasia | pontoneocerebellar atrophy | pontoneocerebllar hypoplasia			
