doi	paper_type	citation	is_methods_paper	explanation
doi:10.1021/acs.jpcb.3c03125	ScientificReviewArticle	Shen Y, Wei L, Min W. (2023) Raman Imaging Reveals Insights into Membrane Phase Biophysics in Cells.	False	The main goal of the paper is to investigate membrane phase biophysics in cells using Raman imaging techniques, rather than developing new technology or methods. The focus is on understanding biological phenomena related to membrane composition and organization.
doi:10.1101/2023.07.06.548030	ScientificPrimaryResearchPreprint	de Koning EA, Panjalingam M, Tran J, Eckhart MR, Dahlberg PD, Shapiro L. (2023) The PHB Granule Biogenesis Pathway in<i>Caulobacter</i>	False	The main goal of the paper is to investigate how Caulobacter forms PHB granules and the process of granule biogenesis, rather than developing a new technology or method.
doi:10.1101/2023.06.19.545591	ScientificPrimaryResearchPreprint	Schauer A, Pranjic-Ferscha K, Hauschild R, Heisenberg C. (2023) Robust axis elongation by Nodal-dependent restriction of BMP signaling	False	The main goal of the paper is to investigate how biological systems work by studying the coordination of Nodal and BMP signaling in zebrafish embryonic explants and intact embryos.
doi:10.1101/2023.06.22.546073	ScientificPrimaryResearchPreprint	Jabloñski M, Luque GM, Gómez-Elías MD, Sanchez-Cardenas C, Xu X, de la Vega-Beltran JL, Corkidi G, Linares A, Abonza Amaro VX, Krapf D, Krapf D, Darszon A, Guerrero A, Buffone MG. (2023) Reorganization of the Flagellum Scaffolding Induces a Sperm Standstill During Fertilization	False	The main goal of the paper is to investigate how sperm regulate their motility during fertilization, rather than developing new technology or methods.
doi:10.1101/2023.06.20.545666	ScientificPrimaryResearchPreprint	Dayton H, Kiss J, Wei M, Chauhan S, LaMarre E, Cornell WC, Morgan CJ, Janakiraman A, Min W, Tomer R, Price-Whelan A, Nirody JA, Dietrich LE. (2023) Cell arrangement impacts metabolic activity and antibiotic tolerance in<i>Pseudomonas aeruginosa</i>biofilms	False	The main goal of the paper is to investigate how cell arrangement impacts metabolic activity and antibiotic tolerance in biofilms, rather than developing new technology or methods.
doi:10.1016/j.bbamem.2023.184176	ScientificPrimaryResearchArticle	Aguilar J, Malacrida L, Gunther G, Torrado B, Torres V, Urbano BF, Sánchez SA. (2023) Cells immersed in collagen matrices show a decrease in plasma membrane fluidity as the matrix stiffness increases.	False	The main goal of the paper is to investigate how changes in the extracellular matrix stiffness affect the distribution of membrane fluidity in cells, not to develop new technology or methods.
doi:10.1016/j.molcel.2023.05.026	ScientificPrimaryResearchArticle	Schvartzman JM, Forsyth G, Walch H, Chatila W, Taglialatela A, Lee BJ, Zhu X, Gershik S, Cimino FV, Santella A, Menghrajani K, Ciccia A, Koche R, Sánchez-Vega F, Zha S, Thompson CB. (2023) Oncogenic IDH mutations increase heterochromatin-related replication stress without impacting homologous recombination.	False	The main goal of the paper is to investigate how biological systems work, specifically focusing on the effects of oncogenic IDH mutations on replication stress and DNA repair mechanisms.
doi:10.1101/2023.06.07.544107	ScientificPrimaryResearchPreprint	Xue L, Spahn CM, Schacherl M, Mahamid J. (2023) Structural insights into context-dependent inhibitory mechanisms of chloramphenicol in cells	False	The main goal of the paper is to investigate how chloramphenicol inhibits translation in cells using cryo-electron tomography, rather than developing a new technology or method.
doi:10.1101/2023.06.01.543318	ScientificPrimaryResearchPreprint	Rivera-Gonzalez GC, Butka EG, Gonzalez CE, Kong W, Jindal K, Morris SA. (2023) Single-cell lineage tracing reveals hierarchy and mechanism of adipocyte precursor maturation	False	The main goal of the paper is to investigate how adipocyte precursor cells mature in the skin, revealing their hierarchy and mechanism of differentiation, rather than developing new technology or methods. The research aims to understand the biological processes underlying rapid adipogenesis in the skin.
doi:10.1038/s42255-023-00807-w	ScientificPrimaryResearchArticle	Glunk V, Laber S, Sinnott-Armstrong N, Sobreira DR, Strobel SM, Batista TM, Kubitz P, Moud BN, Ebert H, Huang Y, Brandl B, Garbo G, Honecker J, Stirling DR, Abdennur N, Calabuig-Navarro V, Skurk T, Ocvirk S, Stemmer K, Cimini BA, Carpenter AE, Dankel SN, Lindgren CM, Hauner H, Nobrega MA, Claussnitzer M. (2023) A non-coding variant linked to metabolic obesity with normal weight affects actin remodelling in subcutaneous adipocytes.	False	The goal of the paper is to investigate how a specific genetic variant affects actin remodelling in subcutaneous adipocytes and its implications on obesity and metabolic health. The methods used involve identifying the genetic variant, studying its effects on gene expression and cellular processes, and investigating its impact on adipocyte differentiation and insulin sensitivity.
doi:10.1016/j.bpj.2023.05.027	ScientificPrimaryResearchArticle	Jin Q, Pandey D, Thompson CB, Lewis S, Sung HW, Nguyen TD, Kuo S, Wilson KL, Gracias DH, Romer LH. (2023) Acute downregulation of emerin alters actomyosin cytoskeleton connectivity and function.	False	The main goal of the paper is to investigate the role of the nuclear envelope protein emerin in cellular responses to dynamic mechanical transitions, rather than developing new technology or methods.
doi:10.1101/2023.05.24.541142	ScientificPrimaryResearchPreprint	Datler J, Hansen JM, Thader A, Schlögl A, Hodirnau V, Schur FK. (2023) Multi-modal cryo-EM reveals trimers of protein A10 to form the palisade layer in poxvirus cores	False	The main goal of the paper is to investigate the structural determinants of the VACV core using multi-modal cryo-EM and molecular modeling, rather than developing new technology or methods.
doi:10.1101/2023.05.19.540965	ScientificPrimaryResearchPreprint	Kroll J, Hauschild R, Stefanowski K, Hermann MD, Merrin J, Shafeek L, Müller-Taubenberger A, Renkawitz J. (2023) Adaptive Pathfinding by Nucleokinesis during Amoeboid Migration	False	The main goal of the paper is to investigate how motile amoeboid cells utilize nucleokinesis for adaptive pathfinding in heterogeneous microenvironments, rather than developing new technology or methods.
doi:10.1002/mrm.29667	ScientificPrimaryResearchArticle	Kauppinen RA, Thothard J, Leskinen HPP, Pisharady PK, Manninen E, Kettunen M, Lenglet C, Gröhn OHJ, Garwood M, Nissi MJ. (2023) Axon fiber orientation as the source of T<sub>1</sub> relaxation anisotropy in white matter: A study on corpus callosum in vivo and ex vivo.	False	The main goal of the paper is to investigate the interrelationships between axon fiber orientation and T1 relaxation time in white matter, both in vivo and ex vivo. The methods used involve scanning volunteers for MRI and computing angular T1 plots from white matter, as well as rotating ex vivo rat-brain samples to study T1 relaxation.
doi:10.7554/elife.88080	ScientificPrimaryResearchArticle	Suchacki KJ, Thomas BJ, Ikushima YM, Chen KC, Fyfe C, Tavares AAS, Sulston RJ, Lovdel A, Woodward HJ, Han X, Mattiucci D, Brain EJ, Alcaide-Corral CJ, Kobayashi H, Gray GA, Whitfield PD, Stimson RH, Morton NM, Johnstone AM, Cawthorn WP. (2023) The effects of caloric restriction on adipose tissue and metabolic health are sex- and age-dependent.	False	The paper is investigating how biological systems work, specifically focusing on the effects of caloric restriction on adipose tissue and metabolic health in relation to sex and age.
doi:10.3389/fnagi.2023.1146245	ScientificPrimaryResearchArticle	Glavis-Bloom C, Vanderlip CR, Weiser Novak S, Kuwajima M, Kirk L, Harris KM, Manor U, Reynolds JH. (2023) Violation of the ultrastructural size principle in the dorsolateral prefrontal cortex underlies working memory impairment in the aged common marmoset (Callithrix jacchus).	False	The main goals of the paper are to investigate the neurobiological drivers of variability in working memory impairment in aged marmosets by studying changes in synaptic ultrastructure in the dorsolateral prefrontal cortex. The methods used, such as electron microscopy and measurements of synapse sizes, are aimed at achieving these investigative goals rather than developing new technology or methods.
doi:10.1101/2023.04.11.536299	ScientificPrimaryResearchPreprint	Iyer M, Kantarci H, Ambiel N, Novak SW, Andrade LR, Lam M, Münch AE, Yu X, Khakh BS, Manor U, Zuchero JB. (2023) Oligodendrocyte calcium signaling sculpts myelin sheath morphology	False	The main goal of the paper is to investigate how biological systems work, specifically focusing on the role of oligodendrocyte calcium signaling in sculpting myelin sheath morphology.
doi:10.1016/j.str.2023.03.011	ScientificPrimaryResearchArticle	Dutka P, Metskas LA, Hurt RC, Salahshoor H, Wang TY, Malounda D, Lu GJ, Chou TF, Shapiro MG, Jensen GJ. (2023) Structure of Anabaena flos-aquae gas vesicles revealed by cryo-ET.	False	The main goal of the paper is to investigate the structure and assembly mechanism of gas vesicles in Anabaena flos-aquae, not to develop new technology or methods.
doi:10.7554/elife.80403	ScientificPrimaryResearchArticle	Descovich CP, Lough KJ, Jena A, Wu JJ, Yom J, Spitzer DC, Uppalapati M, Kedziora KM, Williams SE. (2023) AGS3 antagonizes LGN to balance oriented cell divisions and cell fate choices in mammalian epidermis.	False	The main goal of the paper is to investigate how AGS3 antagonizes LGN to balance oriented cell divisions and cell fate choices in mammalian epidermis, rather than developing new technology or methods.
doi:10.1164/rccm.202212-2314le	ScientificComment	Kamp JC, Werlein C, Plucinski EKJ, Neubert L, Welte T, Lee PD, Tafforeau P, Walsh C, Kuehnel MP, Schuppan D, Hoeper MM, Jonigk DD, Ackermann M. (2023) Novel Insight into Pulmonary Fibrosis and Long COVID.	False	The work is likely focused on gaining insights into pulmonary fibrosis and Long COVID, which indicates a goal of understanding biological systems rather than developing new technology or methods.
doi:10.1101/2023.03.28.534566	ScientificPrimaryResearchPreprint	Rahmani S, Jafree DJ, Lee PD, Tfforeau P, Jacob J, Bellier A, Ackermann M, Jonigk DD, Shipley RJ, Long DA, Walsh CL. (2023) Micro to macro scale analysis of the intact human renal arterial tree with Synchrotron Tomography	False	The main goal of the paper is to investigate and understand the human renal arterial tree using synchrotron tomography, rather than focusing on the development or testing of new technology or methods.
doi:10.1038/s41598-023-31042-8	ScientificPrimaryResearchArticle	Plazen L, Rahbani JA, Brown CM, Khadra A. (2023) Polarity and mixed-mode oscillations may underlie different patterns of cellular migration.	False	The main goal of the paper is to investigate how biological systems work, particularly focusing on cellular migration patterns and the underlying mechanisms involving key proteins and their interactions.
doi:10.1101/2023.03.08.531705	ScientificPrimaryResearchPreprint	Cencer CS, Silverman JB, Meenderink LM, Krystofiak ES, Millis BA, Tyska MJ. (2023) Adhesion-based capture stabilizes nascent microvilli at epithelial cell junctions	False	The main goal of the paper is to investigate how nascent microvilli are stabilized at epithelial cell junctions, rather than developing new technology or methods. The work aims to understand the biological process involved in the stabilization and accumulation of microvilli.
doi:10.1159/000530012	ScientificPrimaryResearchArticle	Wu KC, Condon ND, Hill TA, Reid RC, Fairlie DP, Lim J. (2023) Ras-Related Protein Rab5a Regulates Complement C5a Receptor Trafficking, Chemotaxis, and Chemokine Secretion in Human Macrophages.	False	The main goal of the paper is to investigate how biological systems work, specifically focusing on the role of Rab5a in regulating C5a-induced chemotaxis and chemokine secretion in human macrophages.
doi:10.7554/elife.80246	ScientificPrimaryResearchArticle	Sidders AE, Kedziora KM, Arts M, Daniel JM, de Benedetti S, Beam JE, Bui DT, Parsons JB, Schneider T, Rowe SE, Conlon BP. (2023) Antibiotic-induced accumulation of lipid II synergizes with antimicrobial fatty acids to eradicate bacterial populations.	False	The main goal of the paper is to investigate how antimicrobial fatty acids synergize with antibiotics to eradicate bacterial populations, rather than developing new technology or methods.
doi:10.1101/2023.03.02.529949	ScientificPrimaryResearchPreprint	Bosworth A, Contreras M, Weiser Novak S, Sancho L, Salas I, Manor U, Allen N. (2023) Astrocyte glypican 5 regulates synapse maturation and stabilization	False	The main goal of the paper is to investigate how astrocyte glypican 5 regulates synapse maturation and stabilization in the developing mouse cortex. There is no indication that the paper focuses on developing new technology or methods.
doi:10.1183/13993003.02121-2022	ScientificComment	Ackermann M, Tafforeau P, Brunet J, Kamp JC, Werlein C, Kühnel MP, Jacob J, Walsh CL, Lee PD, Welte T, Jonigk DD. (2023) Comment on: Intrapulmonary shunt and alveolar dead space in a cohort of patients with acute COVID-19 pneumonitis and early recovery.	False	The paper does not focus on developing new technology or methods. It is concerned with investigating intrapulmonary shunt and alveolar dead space in patients with COVID-19 pneumonitis.
doi:10.1164/rccm.202202-0394oc	ScientificPrimaryResearchArticle	Shang F, Wang SC, Gongol B, Han SY, Cho Y, Schiavon CR, Chen L, Xing Y, Zhao Y, Ning M, Guo X, He F, Lei Y, Wang L, Manor U, Marin T, Chou KT, He M, Huang PH, Shyy JY, Malhotra A. (2023) Obstructive Sleep Apnea-induced Endothelial Dysfunction Is Mediated by miR-210.	False	The main goal of the paper is to investigate the mechanism of OSA-induced endothelial dysfunction and explore potential therapies, rather than developing new technology or methods.
doi:10.1016/j.molmet.2023.101679	ScientificPrimaryResearchArticle	Choi KM, Ko CY, An SM, Cho SH, Rowland DJ, Kim JH, Fasoli A, Chaudhari AJ, Bers DM, Yoon JC. (2023) Regulation of beige adipocyte thermogenesis by the cold-repressed ER protein NNAT.	False	The main goal of the paper is to investigate the role of the ER protein NNAT in the regulation of thermogenesis in adipose tissue, rather than developing new technology or methods.
doi:10.1136/gutjnl-2022-328265	ScientificPrimaryResearchArticle	Hendrikx T, Lang S, Rajcic D, Wang Y, McArdle S, Kim K, Mikulski Z, Schnabl B. (2023) Hepatic pIgR-mediated secretion of IgA limits bacterial translocation and prevents ethanol-induced liver disease in mice.	False	The main goal of the paper is to investigate how dysfunctional hepatic pIgR affects alcohol-associated liver disease and how enhancing IgA secretion can ameliorate the disease. The methods used in the study involve assessing pIgR and IgA levels in livers, using mouse models with or without pIgR expression, and treating mice with non-absorbable antibiotics and AAV8 expressing pIgR.
doi:10.1038/s41594-022-00861-0	ScientificPrimaryResearchArticle	Chen Z, Greenan GA, Shiozaki M, Liu Y, Skinner WM, Zhao X, Zhao S, Yan R, Yu Z, Lishko PV, Agard DA, Vale RD. (2023) In situ cryo-electron tomography reveals the asymmetric architecture of mammalian sperm axonemes.	False	The goal of the paper is to investigate the asymmetric architecture of mammalian sperm axonemes using in situ cryo-electron tomography. The methods used involve performing in situ cryo-electron tomography of mouse and human sperm to provide high-resolution structural information.
doi:10.1101/2022.12.27.522024	ScientificPrimaryResearchPreprint	Fang J, Castillon G, Phan S, McArdle S, Hariharan C, Adams A, Ellisman MH, Deniz AA, Saphire EO. (2022) Spatial and functional arrangement of Ebola virus polymerase inside phase-separated viral factories	False	The main goal of the paper is to investigate how Ebola virus polymerase is spatially and functionally arranged inside viral factories, rather than developing new technology or methods.
doi:10.1126/science.abl6620	ScientificPrimaryResearchArticle	Taboada C, Delia J, Chen M, Ma C, Peng X, Zhu X, Jiang L, Vu T, Zhou Q, Yao J, O'Connell L, Johnsen S. (2022) Glassfrogs conceal blood in their liver to maintain transparency.	False	The main goal of the paper is to investigate how glassfrogs maintain transparency by concealing blood in their liver. The methods used involve tracking red blood cells in vivo and documenting the process, rather than developing a new technology or method.
doi:10.1038/s41467-022-34997-w	ScientificPrimaryResearchArticle	Hoffmann PC, Kreysing JP, Khusainov I, Tuijtel MW, Welsch S, Beck M. (2022) Structures of the eukaryotic ribosome and its translational states in situ.	False	The main goal of the paper is to investigate the structures of the eukaryotic ribosome and its translational states in situ, utilizing cryo-electron tomography and subtomogram averaging techniques. It aims to understand the distribution of translational states within cells rather than developing new technology or methods.
doi:10.20944/preprints202211.0553.v1	ScientificPrimaryResearchPreprint	Buchanan E, Mahony C, Bam S, Jaffer M, Macleod S, Van Der Watt M, Jacobs C, O'Ryan C. (2022) Transmission Electron Microscopy Reveals Propionic Acid-induced Alterations to Mitochondrial Morphology in SH-SY5Y Cells	False	The goal of the paper is to investigate mitochondrial morphological changes induced by propionic acid in SH-SY5Y cells and to demonstrate the utility of transmission electron microscopy in studying mitochondrial dynamics and function. The methods used include transmission electron microscopy and gene expression analysis.
doi:10.1111/acps.13521	ScientificPrimaryResearchArticle	Murray SB, Cabeen RP, Jann K, Tadayonnejad R, Strober M, Feusner JD. (2022) White matter microstructure in habit and reward circuits in anorexia nervosa: Insights from a neurite orientation dispersion and density imaging study.	False	The main goal of the paper is to investigate white matter microstructure in habit and reward circuits in anorexia nervosa, not to develop a new technology or method.
doi:10.1080/15548627.2022.2128019	ScientificReviewArticle	Nanayakkara R, Gurung R, Rodgers SJ, Eramo MJ, Ramm G, Mitchell CA, McGrath MJ. (2022) Autophagic lysosome reformation in health and disease.	False	The main goal of the paper is to provide a comprehensive review of autophagic lysosome reformation (ALR) in health and disease, rather than developing new technology or methods. The focus is on understanding the biological process of ALR and its implications in various diseases.
doi:10.1016/j.bpsc.2022.10.012	ScientificPrimaryResearchArticle	Smucny J, Vlasova RM, Lesh TA, Rowland DJ, Wang G, Chaudhari AJ, Chen S, Iosif AM, Hogrefe CE, Bennett JL, Shumann CM, Van de Water JA, Maddock RJ, Styner MA, Geschwind DH, McAllister AK, Bauman MD, Carter CS. (2022) Increased Striatal Presynaptic Dopamine in a Nonhuman Primate Model of Maternal Immune Activation: A Longitudinal Neurodevelopmental Positron Emission Tomography Study With Implications for Schizophrenia.	False	The main goal of the paper is to investigate how maternal immune activation affects the development of striatal presynaptic dopamine in offspring, with implications for schizophrenia. The study uses positron emission tomography to track dopamine levels and compare between offspring exposed to MIA and control groups, rather than developing a new technology or method.
doi:10.5281/zenodo.7260779	ScientificPrimaryResearchArticle	Alejandro Buschiazzo et al. (2022) Latin America and Caribbean Structural Biology Landscape Analysis Report	False	The paper is likely focused on analyzing the current state of structural biology in Latin America and the Caribbean, which suggests a goal of understanding the existing landscape rather than developing new techniques or methods.
doi:10.1016/j.cels.2022.10.001	ScientificPrimaryResearchArticle	Way GP, Natoli T, Adeboye A, Litichevskiy L, Yang A, Lu X, Caicedo JC, Cimini BA, Karhohs K, Logan DJ, Rohban MH, Kost-Alimova M, Hartland K, Bornholdt M, Chandrasekaran SN, Haghighi M, Weisbart E, Singh S, Subramanian A, Carpenter AE. (2022) Morphology and gene expression profiling provide complementary information for mapping cell state.	False	The main goal of the paper is to investigate how morphology and gene expression profiling provide complementary information for mapping cell state, rather than developing a new technology or method.
doi:10.1101/2022.10.23.512956	ScientificPrimaryResearchPreprint	Reisman E, Botella J, Huang C, Schittenhelm RB, Stroud DA, Granata C, Chandrasiri S, Ramm G, Oorschot V, Caruana NJ, Bishop DJ. (2022) Fibre-specific mitochondrial protein abundance is linked to resting and post-training mitochondrial content in human muscle	False	The main goal of the paper is to investigate mitochondrial differences in human skeletal muscle before and after training using mass spectrometry-based proteomics, rather than the development of new technology or methods.
doi:10.1038/s41467-022-33268-y	ScientificPrimaryResearchArticle	Calabrese B, Jones SL, Shiraishi-Yamaguchi Y, Lingelbach M, Manor U, Svitkina TM, Higgs HN, Shih AY, Halpain S. (2022) INF2-mediated actin filament reorganization confers intrinsic resilience to neuronal ischemic injury.	False	The paper is focused on investigating how biological systems work, specifically studying the role of actin filament reorganization in conferring resilience to neuronal ischemic injury.
doi:10.1101/2022.10.06.511160	ScientificPrimaryResearchPreprint	Negretti NM, Son Y, Crooke P, Plosa EJ, Benjamin JT, Jetter CS, Bunn C, Mignemi N, Marini J, Hackett AN, Ransom M, Nichols D, Guttentag SH, Pua HH, Blackwell TS, Zacharias W, Frank DB, Kozub JA, Mahadevan-Jansen A, Kropski JA, Wright CV, Millis B, Sucre JMS. (2022) Epithelial Outgrowth Through Mesenchymal Rings Drives Alveologenesis	False	The main goal of the paper is to understand how alveoli are formed and maintained during lung organogenesis and regeneration, rather than to develop new technology or methods.
doi:10.1083/jcb.202107134	ScientificPrimaryResearchArticle	Weier AK, Homrich M, Ebbinghaus S, Juda P, Miková E, Hauschild R, Zhang L, Quast T, Mass E, Schlitzer A, Kolanus W, Burgdorf S, Gruß OJ, Hons M, Wieser S, Kiermaier E. (2022) Multiple centrosomes enhance migration and immune cell effector functions of mature dendritic cells.	False	The main goal of the paper is to investigate how multiple centrosomes impact the migration and immune cell effector functions of mature dendritic cells, rather than developing new technology or methods.
doi:10.1016/j.jsb.2022.107899	ScientificPrimaryResearchArticle	Weerakoon AT, Condon N, Cox TR, Sexton C, Cooper C, Meyers IA, Thomson D, Ford PJ, Roy S, Symons AL. (2022) Dynamic dentin: A quantitative microscopic assessment of age and spatial changes to matrix architecture, peritubular dentin, and collagens types I and III.	False	The main goal of the paper is to investigate age and site-related changes in human dentin collagen, rather than to develop new technology or methods.
doi:10.1016/j.ebiom.2022.104296	ScientificPrimaryResearchArticle	Ackermann M, Kamp JC, Werlein C, Walsh CL, Stark H, Prade V, Surabattula R, Wagner WL, Disney C, Bodey AJ, Illig T, Leeming DJ, Karsdal MA, Tzankov A, Boor P, Kühnel MP, Länger FP, Verleden SE, Kvasnicka HM, Kreipe HH, Haverich A, Black SM, Walch A, Tafforeau P, Lee PD, Hoeper MM, Welte T, Seeliger B, David S, Schuppan D, Mentzer SJ, Jonigk DD. (2022) The fatal trajectory of pulmonary COVID-19 is driven by lobular ischemia and fibrotic remodelling.	False	The main goal of the paper is to provide comprehensive insights into the pathophysiology of severe COVID-19 and identify liquid biomarkers for disease severity and therapy response. The methods used are aimed at studying lungs and analyzing biomarkers rather than developing new technology or methods.
doi:10.3389/fcell.2022.974168	ScientificPrimaryResearchArticle	Taiber S, Gozlan O, Cohen R, Andrade LR, Gregory EF, Starr DA, Moran Y, Hipp R, Kelley MW, Manor U, Sprinzak D, Avraham KB. (2022) A Nesprin-4/kinesin-1 cargo model for nuclear positioning in cochlear outer hair cells.	False	The main goal of the paper is to investigate how biological systems work, specifically focusing on the mechanisms underlying nuclear positioning in cochlear outer hair cells rather than developing new technology or methods.
doi:10.1088/2050-6120/ac8d4c	ScientificReviewArticle	Otaiza-González S, Cabadas M, Robert G, Stock RP, Malacrida L, Lascano R, Bagatolli LA. (2022) The innards of the cell: studies of water dipolar relaxation using the ACDAN fluorescent probe.	False	The main goal of the paper is to investigate how biological systems work by using the ACDAN fluorescent probe to study water dipolar relaxation in cells, tissues, and biomimetic systems. The methods section describes the use of the ACDAN fluorophore in different environments to map water dipolar relaxation.
doi:10.15252/msb.202211087	ScientificPrimaryResearchArticle	Stallaert W, Taylor SR, Kedziora KM, Taylor CD, Sobon HK, Young CL, Limas JC, Varblow Holloway J, Johnson MS, Cook JG, Purvis JE. (2022) The molecular architecture of cell cycle arrest.	False	The goal of the paper is to investigate how biological systems work by studying the molecular architecture of cell cycle arrest, rather than developing new technology or methods.
doi:10.1093/nar/gkac003	ScientificPrimaryResearchArticle	Mei L, Kedziora KM, Song EA, Purvis JE, Cook JG. (2022) The consequences of differential origin licensing dynamics in distinct chromatin environments.	False	The main goal of the paper is to investigate how biological systems work, specifically focusing on the consequences of differential origin licensing dynamics in distinct chromatin environments.
