Key	Item Type	Publication Year	Author	Title	Publication Title	ISBN	ISSN	DOI	Url	Abstract Note	Date	Date Added	Date Modified	Access Date	Pages	Num Pages	Issue	Volume	Number Of Volumes	Journal Abbreviation	Short Title	Series	Series Number	Series Text	Series Title	Publisher	Place	Language	Rights	Type	Archive	Archive Location	Library Catalog	Call Number	Extra	Notes	File Attachments	Link Attachments	Manual Tags	Automatic Tags	Editor	Series Editor	Translator	Contributor	Attorney Agent	Book Author	Cast Member	Commenter	Composer	Cosponsor	Counsel	Interviewer	Producer	Recipient	Reviewed Author	Scriptwriter	Words By	Guest	Number	Edition	Running Time	Scale	Medium	Artwork Size	Filing Date	Application Number	Assignee	Issuing Authority	Country	Meeting Name	Conference Name	Court	References	Reporter	Legal Status	Priority Numbers	Programming Language	Version	System	Code	Code Number	Section	Session	Committee	History	Legislative Body																																																																																						
UHAUCHF3	journalArticle	2017	Kimelman, David; Smith, Natalie L.; Lai, Jason Kuan Han; Stainier, Didier Yr	Regulation of posterior body and epidermal morphogenesis in zebrafish by localized Yap1 and Wwtr1	eLife		2050-084X	10.7554/eLife.31065		The vertebrate embryo undergoes a series of dramatic morphological changes as the body extends to form the complete anterior-posterior axis during the somite-forming stages. The molecular mechanisms regulating these complex processes are still largely unknown. We show that the Hippo pathway transcriptional coactivators Yap1 and Wwtr1 are specifically localized to the presumptive epidermis and notochord, and play a critical and unexpected role in posterior body extension by regulating Fibronectin assembly underneath the presumptive epidermis and surrounding the notochord. We further find that Yap1 and Wwtr1, also via Fibronectin, have an essential role in the epidermal morphogenesis necessary to form the initial dorsal and ventral fins, a process previously thought to involve bending of an epithelial sheet, but which we now show involves concerted active cell movement. Our results reveal how the Hippo pathway transcriptional program, localized to two specific tissues, acts to control essential morphological events in the vertebrate embryo.	2017-12-28	2024-03-06 19:55:56	2024-03-06T19:55:56Z		e31065			6		Elife								eng					PubMed		PMID: 29283341 PMCID: PMC5773182					Animals; Epidermis; Fibronectin; Fibronectins; Gene Expression Regulation, Developmental; Hippo pathway; Intracellular Signaling Peptides and Proteins; Morphogenesis; Notochord; Trans-Activators; Transcriptional Coactivator with PDZ-Binding Motif Proteins; YAP-Signaling Proteins; Zebrafish; Zebrafish Proteins; developmental biology; fin formation; morphogenesis; stem cells; vertebrate embryo elongation; zebrafish																																																																																																																																				
W78AEIEY	journalArticle	2017	Gross-Thebing, Theresa; Yigit, Sargon; Pfeiffer, Jana; Reichman-Fried, Michal; Bandemer, Jan; Ruckert, Christian; Rathmer, Christin; Goudarzi, Mehdi; Stehling, Martin; Tarbashevich, Katsiaryna; Seggewiss, Jochen; Raz, Erez	The Vertebrate Protein Dead End Maintains Primordial Germ Cell Fate by Inhibiting Somatic Differentiation	Developmental Cell		1878-1551	10.1016/j.devcel.2017.11.019		Maintaining cell fate relies on robust mechanisms that prevent the differentiation of specified cells into other cell types. This is especially critical during embryogenesis, when extensive cell proliferation, patterning, and migration events take place. Here we show that vertebrate primordial germ cells (PGCs) are protected from reprogramming into other cell types by the RNA-binding protein Dead end (Dnd). PGCs knocked down for Dnd lose their characteristic morphology and adopt various somatic cell fates. Concomitantly, they gain a gene expression profile reflecting differentiation into cells of different germ layers, in a process that we could direct by expression of specific cell-fate determinants. Importantly, we visualized these events within live zebrafish embryos, which provide temporal information regarding cell reprogramming. Our results shed light on the mechanisms controlling germ cell fate maintenance and are relevant for the formation of teratoma, a tumor class composed of cells from more than one germ layer.	2017-12-18	2024-03-06 19:55:55	2024-03-06T19:55:55Z		704-715.e5		6	43		Dev Cell								eng					PubMed		PMID: 29257950					Animals; Cell Differentiation; Cell Movement; Cellular Reprogramming Techniques; Dead end; Endoderm; Germ Cells; In Situ Hybridization; PGC; RNA-Binding Proteins; Zebrafish; Zebrafish Proteins; differentiation; germ cell; nanos; pluripotency; reprogramming; teratoma; zebrafish																																																																																																																																				
R2XIGS3E	journalArticle	2018	DeBofsky, Abigail R.; Klingler, Rebekah H.; Mora-Zamorano, Francisco X.; Walz, Marcus; Shepherd, Brian; Larson, Jeremy K.; Anderson, David; Yang, Luobin; Goetz, Frederick; Basu, Niladri; Head, Jessica; Tonellato, Peter; Armstrong, Brandon M.; Murphy, Cheryl; Carvan, Michael J.	Female reproductive impacts of dietary methylmercury in yellow perch (Perca flavescens) and zebrafish (Danio rerio)	Chemosphere		1879-1298	10.1016/j.chemosphere.2017.12.029		The purpose of this study was to evaluate the effects of environmentally relevant dietary MeHg exposures on adult female yellow perch (Perca flavescens) and female zebrafish (Danio rerio) ovarian development and reproduction. Yellow perch were used in the study for their socioeconomic and ecological importance within the Great Lakes basin, and the use of zebrafish allowed for a detailed analysis of the molecular effects of MeHg following a whole life-cycle exposure. Chronic whole life dietary exposure of F1 zebrafish to MeHg mimics realistic wildlife exposure scenarios, and the twenty-week adult yellow perch exposure (where whole life-cycle exposures are difficult) captures early seasonal ovarian development. For both species, target dietary accumulation values were achieved prior to analyses. In zebrafish, several genes involved in reproductive processes were shown to be dysregulated by RNA-sequencing and quantitative real-time polymerase chain reaction (QPCR), but no significant phenotypic changes were observed regarding ovarian staging, fecundity, or embryo mortality. Yellow perch were exposed to dietary MeHg for 12, 16, or 20 weeks. In this species, a set of eight genes were assessed by QPCR in the pituitary, liver, and ovary, and no exposure-related changes were observed. The lack of genomic resources in yellow perch hinders the characterization of subtle molecular impacts. The ovarian somatic index, circulating estradiol and testosterone, and ovarian staging were not significantly altered by MeHg exposure in yellow perch. These results suggest that environmentally relevant MeHg exposures do not drastically reduce the reproductively important endpoints in these fish, but to capture realistic exposure scenarios, whole life-cycle yellow perch exposures are needed.	2018-03	2024-03-06 19:55:55	2024-03-06T19:55:55Z		301-311			195		Chemosphere								eng					PubMed		PMID: 29272799 PMCID: PMC8846966					Animals; Aquatic toxicology; Diet; Environmental Exposure; Female; Lakes; Liver; Methylmercury; Methylmercury Compounds; Ovary; Perches; Real-Time Polymerase Chain Reaction; Reproduction; Reproductive toxicity; Transcriptomics; Yellow perch; Zebrafish																																																																																																																																				
BTQMKFKL	journalArticle	2018	Sedykh, Irina; Keller, Abigail N.; Yoon, Baul; Roberson, Laura; Moskvin, Oleg V.; Grinblat, Yevgenya	Zebrafish Rfx4 controls dorsal and ventral midline formation in the neural tube	Developmental Dynamics: An Official Publication of the American Association of Anatomists		1097-0177	10.1002/dvdy.24613		BACKGROUND: Rfx winged-helix transcription factors, best known as key regulators of core ciliogenesis, also play ciliogenesis-independent roles during neural development. Mammalian Rfx4 controls neural tube morphogenesis via both mechanisms. RESULTS: We set out to identify conserved aspects of rfx4 gene function during vertebrate development and to establish a new genetic model in which to analyze these mechanisms further. To this end, we have generated frame-shift alleles in the zebrafish rfx4 locus using CRISPR/Cas9 mutagenesis. Using RNAseq-based transcriptome analysis, in situ hybridization and immunostaining we identified a requirement for zebrafish rfx4 in the forming midlines of the caudal neural tube. These functions are mediated, least in part, through transcriptional regulation of several zic genes in the dorsal hindbrain and of foxa2 in the ventral hindbrain and spinal cord (floor plate). CONCLUSIONS: The midline patterning functions of rfx4 are conserved, because rfx4 regulates transcription of foxa2 and zic2 in zebrafish and in mouse. In contrast, zebrafish rfx4 function is dispensable for forebrain morphogenesis, while mouse rfx4 is required for normal formation of forebrain ventricles in a ciliogenesis-dependent manner. Collectively, this report identifies conserved aspects of rfx4 function and establishes a robust new genetic model for in-depth dissection of these mechanisms. Developmental Dynamics 247:650-659, 2018. © 2017 Wiley Periodicals, Inc.	2018-04	2024-03-06 19:53:51	2024-03-06T19:53:51Z		650-659		4	247		Dev Dyn								eng					PubMed		PMID: 29243319 PMCID: PMC5854527					Animals; Body Patterning; Hh signaling; Morphogenesis; Mutagenesis; Neural Tube; Prosencephalon; Regulatory Factor X Transcription Factors; Rfx4; Zebrafish; Zic; foxa2; neural tube; zebrafish																																																																																																																																				
T4TK587B	journalArticle	2018	Winata, Cecilia Lanny; Łapiński, Maciej; Pryszcz, Leszek; Vaz, Candida; Bin Ismail, Muhammad Hisyam; Nama, Srikanth; Hajan, Hajira Shreen; Lee, Serene Gek Ping; Korzh, Vladimir; Sampath, Prabha; Tanavde, Vivek; Mathavan, Sinnakaruppan	Cytoplasmic polyadenylation-mediated translational control of maternal mRNAs directs maternal-to-zygotic transition	Development (Cambridge, England)		1477-9129	10.1242/dev.159566		In the earliest stages of animal development following fertilization, maternally deposited mRNAs direct biological processes to the point of zygotic genome activation (ZGA). These maternal mRNAs undergo cytoplasmic polyadenylation (CPA), suggesting translational control of their activation. To elucidate the biological role of CPA during embryogenesis, we performed genome-wide polysome profiling at several stages of zebrafish development. Our analysis revealed a correlation between CPA and polysome-association dynamics, demonstrating a coupling of translation to the CPA of maternal mRNAs. Pan-embryonic CPA inhibition disrupted the maternal-to-zygotic transition (MZT), causing a failure of developmental progression beyond the mid-blastula transition and changes in global gene expression that indicated a failure of ZGA and maternal mRNA clearance. Among the genes that were differentially expressed were those encoding chromatin modifiers and key transcription factors involved in ZGA, including nanog, pou5f3 and sox19b, which have distinct CPA dynamics. Our results establish the necessity of CPA for ensuring progression of the MZT. The RNA-seq data generated in this study represent a valuable zebrafish resource for the discovery of novel elements of the early embryonic transcriptome.	2018-01-08	2024-03-06 19:53:51	2024-03-06T19:53:51Z		dev159566		1	145		Development								eng					PubMed		PMID: 29229769					Animals; Cytoplasm; Cytoplasmic polyadenylation; Female; Maternal mRNA; Maternal-to-zygotic transition; Polyadenylation; Polysome profiling; Protein Biosynthesis; RNA, Messenger; Translational regulation; Zebrafish; Zebrafish Proteins; Zygote																																																																																																																																				
YAQYQLN7	journalArticle	2017	Zhang, Liyun; Zhang, Xinlian; Zhang, Gaonan; Pang, Chi Pui; Leung, Yuk Fai; Zhang, Mingzhi; Zhong, Wenxuan	Expression profiling of the retina of pde6c, a zebrafish model of retinal degeneration	Scientific Data		2052-4463	10.1038/sdata.2017.182		Retinal degeneration often affects the whole retina even though the disease-causing gene is specifically expressed in the light-sensitive photoreceptors. The molecular basis of the retinal defect can potentially be determined by gene-expression profiling of the whole retina. In this study, we measured the gene-expression profile of retinas microdissected from a zebrafish pde6cw59 (pde6c) mutant. This retinal-degeneration model not only displays cone degeneration caused by a cone-specific mutation, but also other secondary cellular changes starting from 4 days postfertilization (dpf). To capture the underlying molecular changes, we subjected pde6c and wild-type (WT) retinas at 5 dpf/ 120 h postfertilization (hpf) to RNA sequencing (RNA-Seq) on the Illumina HiSeq 2,000 platform. We also validated the RNA-Seq results by Reverse Transcription Quantitative Polymerase Chain Reaction (RT-qPCR) of seven phototransduction genes. Our analyses indicate that the RNA-Seq dataset was of high quality, and effectively captured the molecular changes in the whole pde6c retina. This dataset will facilitate the characterization of the molecular defects in the pde6c retina at the initial stage of retinal degeneration.	2017-12-12	2024-03-06 19:53:51	2024-03-06T19:53:51Z		170182			4		Sci Data								eng					PubMed		PMID: 29231925 PMCID: PMC5726315					Animals; Cyclic Nucleotide Phosphodiesterases, Type 6; Microarray Analysis; Retina; Retinal Degeneration; Transcriptome; Zebrafish; Zebrafish Proteins																																																																																																																																				
5VXBG276	journalArticle	2018	Wong, Queenie Wing-Lei; Sun, Ming-An; Lau, Shuk-Wa; Parsania, Chirag; Zhou, Shaolong; Zhong, Silin; Ge, Wei	Identification and characterization of a specific 13-miRNA expression signature during follicle activation in the zebrafish ovary	Biology of Reproduction		1529-7268	10.1093/biolre/iox160		Ovarian folliculogenesis is always of great interest in reproductive biology. However, the molecular mechanisms that control follicle development, particularly the early phase of follicle activation or recruitment, still remain poorly understood. In an attempt to decipher the gene networks and signaling pathways involved in such transition, we conducted a transcriptomic analysis (RNA-seq) on zebrafish primary growth (PG, stage I; inactive) and previtellogenic (PV, stage II; activated) follicles. A total of 118 unique microRNAs (miRNAs) (11 downregulated and 83 upregulated during PG/PV transition) and 56711 unique messenger RNAs (mRNAs) (1839 downregulated and 7243 upregulated during PG/PV transition) were identified. Real-time quantitative polymerase chain reaction analysis confirmed differential expression of 46 miRNAs from 66 candidates (66.67%). Among which, we chose to focus on 13 miRNAs (let-7a, -7b, -7c-5p, -7d-5p, -7h, -7i; miR-21, -23a-3p, -27c-3p, -107a-3p, -125b-5p, -145-3p, and -202-5p) that exhibited significant differential expression between PG and PV follicles (P ≤ 0.045*). With this 13-miRNA expression signature alone, PG follicles can be well differentiated from PV follicles by hierarchical clustering, suggesting their functional relevance during PG-to-PV transition. By overlaying predicted target genes and the differentially expressed mRNAs revealed by the RNA-seq analysis, especially those showing reciprocal miRNA-mRNA expression patterns, we shortlisted a panel of miRNA downstream targets for luciferase reporter validation. The reporter assay confirmed the interactions of let-7i:: atg4a (P = 0.01*), miR-202-5p::c23h20orf24 (P = 0.0004***), and miR-144-5p::ybx1 (P = 0.003**), implicating these potential miRNA-mRNA gene pairs in follicle activation during folliculogenesis. Our transcriptomic data analyses suggest that miRNA-mediated post-transcriptional control may represent an important mechanism underlying follicle activation.	2018-01-01	2024-03-06 19:53:50	2024-03-06T19:53:50Z		42-53		1	98		Biol Reprod								eng					PubMed		PMID: 29228146					Animals; Female; Gene Expression Regulation; HEK293 Cells; Humans; MicroRNAs; Ovarian Follicle; RNA, Messenger; Zebrafish; folliculogenesis; microRNA; ovary; zebrafish																																																																																																																																				
CVCFZDR3	journalArticle	2017	Rabani, Michal; Pieper, Lindsey; Chew, Guo-Liang; Schier, Alexander F.	A Massively Parallel Reporter Assay of 3' UTR Sequences Identifies In Vivo Rules for mRNA Degradation	Molecular Cell		1097-4164	10.1016/j.molcel.2017.11.014		The stability of mRNAs is regulated by signals within their sequences, but a systematic and predictive understanding of the underlying sequence rules remains elusive. Here we introduce UTR-seq, a combination of massively parallel reporter assays and regression models, to survey the dynamics of tens of thousands of 3' UTR sequences during early zebrafish embryogenesis. UTR-seq revealed two temporal degradation programs: a maternally encoded early-onset program and a late-onset program that accelerated degradation after zygotic genome activation. Three signals regulated early-onset rates: stabilizing poly-U and UUAG sequences and destabilizing GC-rich signals. Three signals explained late-onset degradation: miR-430 seeds, AU-rich sequences, and Pumilio recognition sites. Sequence-based regression models translated 3' UTRs into their unique decay patterns and predicted the in vivo effect of sequence signals on mRNA stability. Their application led to the successful design of artificial 3' UTRs that conferred specific mRNA dynamics. UTR-seq provides a general strategy to uncover the rules of RNA cis regulation.	2017-12-21	2024-03-06 19:53:50	2024-03-06T19:53:50Z		1083-1094.e5		6	68		Mol Cell								eng					PubMed		PMID: 29225039 PMCID: PMC5994907					3' Untranslated Regions; 3′; Animals; Embryo, Nonmammalian; Gene Expression Regulation; Genes, Reporter; MicroRNAs; RNA Stability; RNA degradation; RNA stability regulation; RNA, Messenger; UTR; Zebrafish; Zebrafish Proteins; Zygote; massively parallel reporter assay; maternal to zygotic transition																																																																																																																																				
AGH7CZ2U	journalArticle	2017	Heid, Johanna; Cencioni, Chiara; Ripa, Roberto; Baumgart, Mario; Atlante, Sandra; Milano, Giuseppina; Scopece, Alessandro; Kuenne, Carsten; Guenther, Stefan; Azzimato, Valerio; Farsetti, Antonella; Rossi, Giacomo; Braun, Thomas; Pompilio, Giulio; Martelli, Fabio; Zeiher, Andreas M.; Cellerino, Alessandro; Gaetano, Carlo; Spallotta, Francesco	Age-dependent increase of oxidative stress regulates microRNA-29 family preserving cardiac health	Scientific Reports		2045-2322	10.1038/s41598-017-16829-w		The short-lived turquoise killifish Nothobranchius furzeri (Nfu) is a valid model for aging studies. Here, we investigated its age-associated cardiac function. We observed oxidative stress accumulation and an engagement of microRNAs (miRNAs) in the aging heart. MiRNA-sequencing of 5 week (young), 12-21 week (adult) and 28-40 week (old) Nfu hearts revealed 23 up-regulated and 18 down-regulated miRNAs with age. MiR-29 family turned out as one of the most up-regulated miRNAs during aging. MiR-29 family increase induces a decrease of known targets like collagens and DNA methyl transferases (DNMTs) paralleled by 5´methyl-cytosine (5mC) level decrease. To further investigate miR-29 family role in the fish heart we generated a transgenic zebrafish model where miR-29 was knocked-down. In this model we found significant morphological and functional cardiac alterations and an impairment of oxygen dependent pathways by transcriptome analysis leading to hypoxic marker up-regulation. To get insights the possible hypoxic regulation of miR-29 family, we exposed human cardiac fibroblasts to 1% O2 levels. In hypoxic condition we found miR-29 down-modulation responsible for the accumulation of collagens and 5mC. Overall, our data suggest that miR-29 family up-regulation might represent an endogenous mechanism aimed at ameliorating the age-dependent cardiac damage leading to hypertrophy and fibrosis.	2017-12-04	2024-03-06 19:53:49	2024-03-06T19:53:49Z		16839		1	7		Sci Rep								eng					PubMed		PMID: 29203887 PMCID: PMC5715159					5-Methylcytosine; Aging; Animals; Antagomirs; Cell Hypoxia; Cell Line; Collagen; DNA Methylation; Echocardiography; Fibroblasts; Fishes; Heart; Humans; MicroRNAs; Myocardium; Oxidative Stress; Up-Regulation; Zebrafish																																																																																																																																				
BGNJTVLB	journalArticle	2018	Venkatesan, Arvind M.; Vyas, Rajesh; Gramann, Alec K.; Dresser, Karen; Gujja, Sharvari; Bhatnagar, Sanchita; Chhangawala, Sagar; Gomes, Camilla Borges Ferreira; Xi, Hualin Simon; Lian, Christine G.; Houvras, Yariv; Edwards, Yvonne J. K.; Deng, April; Green, Michael; Ceol, Craig J.	Ligand-activated BMP signaling inhibits cell differentiation and death to promote melanoma	The Journal of Clinical Investigation		1558-8238	10.1172/JCI92513		Oncogenomic studies indicate that copy number variation (CNV) alters genes involved in tumor progression; however, identification of specific driver genes affected by CNV has been difficult, as these rearrangements are often contained in large chromosomal intervals among several bystander genes. Here, we addressed this problem and identified a CNV-targeted oncogene by performing comparative oncogenomics of human and zebrafish melanomas. We determined that the gene encoding growth differentiation factor 6 (GDF6), which is the ligand for the BMP family, is recurrently amplified and transcriptionally upregulated in melanoma. GDF6-induced BMP signaling maintained a trunk neural crest gene signature in melanomas. Additionally, GDF6 repressed the melanocyte differentiation gene MITF and the proapoptotic factor SOX9, thereby preventing differentiation, inhibiting cell death, and promoting tumor growth. GDF6 was specifically expressed in melanomas but not melanocytes. Moreover, GDF6 expression levels in melanomas were inversely correlated with patient survival. Our study has identified a fundamental role for GDF6 and BMP signaling in governing an embryonic cell gene signature to promote melanoma progression, thus providing potential opportunities for targeted therapy to treat GDF6-positive cancers.	2018-01-02	2024-03-06 19:53:49	2024-03-06T19:53:49Z		294-308		1	128		J Clin Invest								eng					PubMed		PMID: 29202482 PMCID: PMC5749509					Animals; Bone Morphogenetic Proteins; Cancer; Cell Differentiation; Cell Line, Tumor; Development; Female; Growth Differentiation Factor 6; HEK293 Cells; Humans; Ligands; Melanoma; Mice; Mice, Inbred BALB C; Mice, Nude; Microphthalmia-Associated Transcription Factor; Neoplasm Proteins; Oncology; Signal Transduction																																																																																																																																				
VE8J8N3P	journalArticle	2017	Burguera, Demian; Marquez, Yamile; Racioppi, Claudia; Permanyer, Jon; Torres-Méndez, Antonio; Esposito, Rosaria; Albuixech-Crespo, Beatriz; Fanlo, Lucía; D'Agostino, Ylenia; Gohr, Andre; Navas-Perez, Enrique; Riesgo, Ana; Cuomo, Claudia; Benvenuto, Giovanna; Christiaen, Lionel A.; Martí, Elisa; D'Aniello, Salvatore; Spagnuolo, Antonietta; Ristoratore, Filomena; Arnone, Maria Ina; Garcia-Fernàndez, Jordi; Irimia, Manuel	Evolutionary recruitment of flexible Esrp-dependent splicing programs into diverse embryonic morphogenetic processes	Nature Communications		2041-1723	10.1038/s41467-017-01961-y		Epithelial-mesenchymal interactions are crucial for the development of numerous animal structures. Thus, unraveling how molecular tools are recruited in different lineages to control interplays between these tissues is key to understanding morphogenetic evolution. Here, we study Esrp genes, which regulate extensive splicing programs and are essential for mammalian organogenesis. We find that Esrp homologs have been independently recruited for the development of multiple structures across deuterostomes. Although Esrp is involved in a wide variety of ontogenetic processes, our results suggest ancient roles in non-neural ectoderm and regulating specific mesenchymal-to-epithelial transitions in deuterostome ancestors. However, consistent with the extensive rewiring of Esrp-dependent splicing programs between phyla, most developmental defects observed in vertebrate mutants are related to other types of morphogenetic processes. This is likely connected to the origin of an event in Fgfr, which was recruited as an Esrp target in stem chordates and subsequently co-opted into the development of many novel traits in vertebrates.	2017-11-27	2024-03-06 19:53:48	2024-03-06T19:53:48Z		1799		1	8		Nat Commun								eng					PubMed		PMID: 29180615 PMCID: PMC5703972					Animals; Biological Evolution; CRISPR-Cas Systems; Embryonic Development; Epithelial-Mesenchymal Transition; Exons; Female; Gene Expression Regulation, Developmental; Gene Knockdown Techniques; Lancelets; Male; Mutation; RNA Splicing; RNA-Binding Proteins; Sequence Homology, Amino Acid; Signal Transduction; Strongylocentrotus purpuratus; Urochordata; Zebrafish																																																																																																																																				
D6X58MGI	journalArticle	2018	Gagnon, James A.; Obbad, Kamal; Schier, Alexander F.	The primary role of zebrafish nanog is in extra-embryonic tissue	Development (Cambridge, England)		1477-9129	10.1242/dev.147793		The role of the zebrafish transcription factor Nanog has been controversial. It has been suggested that Nanog is primarily required for the proper formation of the extra-embryonic yolk syncytial layer (YSL) and only indirectly regulates gene expression in embryonic cells. In an alternative scenario, Nanog has been proposed to directly regulate transcription in embryonic cells during zygotic genome activation. To clarify the roles of Nanog, we performed a detailed analysis of zebrafish nanog mutants. Whereas zygotic nanog mutants survive to adulthood, maternal-zygotic (MZnanog) and maternal mutants exhibit developmental arrest at the blastula stage. In the absence of Nanog, YSL formation and epiboly are abnormal, embryonic tissue detaches from the yolk, and the expression of dozens of YSL and embryonic genes is reduced. Epiboly defects can be rescued by generating chimeric embryos of MZnanog embryonic tissue with wild-type vegetal tissue that includes the YSL and yolk cell. Notably, cells lacking Nanog readily respond to Nodal signals and when transplanted into wild-type hosts proliferate and contribute to embryonic tissues and adult organs from all germ layers. These results indicate that zebrafish Nanog is necessary for proper YSL development but is not directly required for embryonic cell differentiation.	2018-01-09	2024-03-06 19:53:48	2024-03-06T19:53:48Z		dev147793		1	145		Development								eng					PubMed		PMID: 29180571 PMCID: PMC5825865					Animals; Cell Differentiation; GESTALT; Gene Expression Regulation, Developmental; Lineage tracing; MZT; Maternal-to-zygotic transition; Mutation; Nanog; Nanog Homeobox Protein; YSL; Yolk Sac; Yolk syncytial layer; ZGA; Zebrafish; Zebrafish Proteins; Zygotic genome activation																																																																																																																																				
D3R45R45	journalArticle	2018	Meier, Michael; Grant, Jenny; Dowdle, Amy; Thomas, Amarni; Gerton, Jennifer; Collas, Philippe; O'Sullivan, Justin M.; Horsfield, Julia A.	Cohesin facilitates zygotic genome activation in zebrafish	Development (Cambridge, England)		1477-9129	10.1242/dev.156521		At zygotic genome activation (ZGA), changes in chromatin structure are associated with new transcription immediately following the maternal-to-zygotic transition (MZT). The nuclear architectural proteins cohesin and CCCTC-binding factor (CTCF) contribute to chromatin structure and gene regulation. We show here that normal cohesin function is important for ZGA in zebrafish. Depletion of the cohesin subunit Rad21 delays ZGA without affecting cell cycle progression. In contrast, CTCF depletion has little effect on ZGA, whereas complete abrogation is lethal. Genome-wide analysis of Rad21 binding reveals a change in distribution from pericentromeric satellite DNA and other locations, including the miR-430 locus (the products of which are responsible for maternal transcript degradation), to genes, as embryos progress through the MZT. After MZT, a subset of Rad21 binding overlaps the pioneer factor Pou5f3, which activates early expressed genes. Rad21 depletion disrupts the formation of nucleoli and RNA polymerase II foci, suggestive of global defects in chromosome architecture. We propose that Rad21/cohesin redistribution to active areas of the genome is key to the establishment of chromosome organization and the embryonic developmental program.	2018-01-03	2024-03-06 19:53:47	2024-03-06T19:53:47Z		dev156521		1	145		Development								eng					PubMed		PMID: 29158440					Animals; CCCTC-Binding Factor; CTCF; Cell Cycle Proteins; Chromosomal Proteins, Non-Histone; Cohesin; Cohesins; Genome; Genome-Wide Association Study; MicroRNAs; Mid-blastula transition; Zebrafish; Zebrafish Proteins; Zygote; Zygotic genome activation																																																																																																																																				
3CP8VW8U	journalArticle	2017	Louie, Ke'ale W.; Saera-Vila, Alfonso; Kish, Phillip E.; Colacino, Justin A.; Kahana, Alon	Temporally distinct transcriptional regulation of myocyte dedifferentiation and Myofiber growth during muscle regeneration	BMC genomics		1471-2164	10.1186/s12864-017-4236-y		BACKGROUND: Tissue regeneration requires a series of steps, beginning with generation of the necessary cell mass, followed by cell migration into damaged area, and ending with differentiation and integration with surrounding tissues. Temporal regulation of these steps lies at the heart of the regenerative process, yet its basis is not well understood. The ability of zebrafish to dedifferentiate mature "post-mitotic" myocytes into proliferating myoblasts that in turn regenerate lost muscle tissue provides an opportunity to probe the molecular mechanisms of regeneration. RESULTS: Following subtotal excision of adult zebrafish lateral rectus muscle, dedifferentiating residual myocytes were collected at two time points prior to cell cycle reentry and compared to uninjured muscles using RNA-seq. Functional annotation (GAGE or K-means clustering followed by GO enrichment) revealed a coordinated response encompassing epigenetic regulation of transcription, RNA processing, and DNA replication and repair, along with protein degradation and translation that would rewire the cellular proteome and metabolome. Selected candidate genes were phenotypically validated in vivo by morpholino knockdown. Rapidly induced gene products, such as the Polycomb group factors Ezh2 and Suz12a, were necessary for both efficient dedifferentiation (i.e. cell reprogramming leading to cell cycle reentry) and complete anatomic regeneration. In contrast, the late activated gene fibronectin was important for efficient anatomic muscle regeneration but not for the early step of myocyte cell cycle reentry. CONCLUSIONS: Reprogramming of a "post-mitotic" myocyte into a dedifferentiated myoblast requires a complex coordinated effort that reshapes the cellular proteome and rewires metabolic pathways mediated by heritable yet nuanced epigenetic alterations and molecular switches, including transcription factors and non-coding RNAs. Our studies show that temporal regulation of gene expression is programmatically linked to distinct steps in the regeneration process, with immediate early expression driving dedifferentiation and reprogramming, and later expression facilitating anatomical regeneration.	2017-11-09	2024-03-06 19:53:47	2024-03-06T19:53:47Z		854		1	18		BMC Genomics								eng					PubMed		PMID: 29121865 PMCID: PMC5680785					Animals; Cell Dedifferentiation; Cell reprogramming; Chromatin; Epigenetic; Fibronectin; Gene Expression Profiling; Gene Ontology; Muscle Cells; Muscle Development; Muscles; Polycomb; RNA-sequencing; Regeneration; Stem cell; Time Factors; Transcription, Genetic; Transcriptome; Zebrafish																																																																																																																																				
XI9PHKJP	journalArticle	2017	Norris, Megan L.; Pauli, Andrea; Gagnon, James A.; Lord, Nathan D.; Rogers, Katherine W.; Mosimann, Christian; Zon, Leonard I.; Schier, Alexander F.	Toddler signaling regulates mesodermal cell migration downstream of Nodal signaling	eLife		2050-084X	10.7554/eLife.22626		Toddler/Apela/Elabela is a conserved secreted peptide that regulates mesendoderm development during zebrafish gastrulation. Two non-exclusive models have been proposed to explain Toddler function. The 'specification model' postulates that Toddler signaling enhances Nodal signaling to properly specify endoderm, whereas the 'migration model' posits that Toddler signaling regulates mesendodermal cell migration downstream of Nodal signaling. Here, we test key predictions of both models. We find that in toddler mutants Nodal signaling is initially normal and increasing endoderm specification does not rescue mesendodermal cell migration. Mesodermal cell migration defects in toddler mutants result from a decrease in animal pole-directed migration and are independent of endoderm. Conversely, endodermal cell migration defects are dependent on a Cxcr4a-regulated tether of the endoderm to mesoderm. These results suggest that Toddler signaling regulates mesodermal cell migration downstream of Nodal signaling and indirectly affects endodermal cell migration via Cxcr4a-signaling.	2017-11-09	2024-03-06 19:53:47	2024-03-06T19:53:47Z		e22626			6		Elife								eng					PubMed		PMID: 29117894 PMCID: PMC5679751					Animals; Apela; Cell Movement; Cxcr4a; Elabela; Gastrulation; Gene Knockout Techniques; Mesoderm; Nodal; Nodal Signaling Ligands; Receptors, CXCR4; Signal Transduction; Toddler; Zebrafish; Zebrafish Proteins; developmental biology; stem cells; zebrafish																																																																																																																																				
